,from_dest,co2_emissions,price,from_airport_code,dest_airport_code,distance
345,"VIE,DXB",544000.0,593.0,VIE,DXB,4222.896756980174
346,"VIE,TPE",1148000.0,1955.5,VIE,TPE,8968.04643615826
347,"VIE,DME",724000.0,2077.0,VIE,DME,1668.1575984737924
348,"VIE,MAN",222000.0,347.0,VIE,MAN,1443.1748024476385
349,"VIE,SAW",303000.0,502.0,VIE,SAW,1287.0163526813892
350,"VIE,CPT",1256000.0,767.0,VIE,CPT,9128.574602434539
351,"VIE,LAX",1069000.0,1295.0,VIE,LAX,9853.783900392074
352,"VIE,LGW",274000.0,555.0,VIE,LGW,1250.3849560199476
353,"VIE,ARN",246000.0,343.0,VIE,ARN,1286.341168912569
354,"VIE,MCO",935000.0,1298.0,VIE,MCO,8239.819983868467
355,"VIE,ORD",786000.0,1258.0,VIE,ORD,7566.455588957639
356,"VIE,IST",301000.0,408.0,VIE,IST,1224.288298900429
357,"VIE,IAH",986000.0,1520.0,VIE,IAH,9008.144030824793
358,"VIE,PHX",1055500.0,1595.0,VIE,PHX,9607.970261815497
359,"VIE,LHR",190000.0,329.0,VIE,LHR,1275.0608780680082
360,"VIE,SFO",1052500.0,1551.0,VIE,SFO,9653.168789506888
361,"VIE,MIA",942000.0,1293.0,VIE,MIA,8383.827791822141
362,"VIE,ATL",847000.0,1305.0,VIE,ATL,8024.168612678764
363,"BRU,ALG",333000.0,911.0,BRU,ALG,1583.3402285344343
364,"VIE,FLL",912000.0,1284.0,VIE,FLL,8351.756697555698
365,"VIE,CLT",842000.0,1484.0,VIE,CLT,7675.380082978449
366,"BRU,MEL",1908000.0,1293.0,BRU,MEL,16586.84723801912
367,"VIE,ZRH",203000.0,404.0,VIE,ZRH,603.216489381341
